Row Labels,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
A Ashish Reddy,8.273125996810208,8.273125996810208,8.273125996810208,8.273125996810208,9.789473684210526,13.63636363636364,8.273125996810208,6.666666666666668,8.273125996810208,8.273125996810208,3,12.262360446570973,8.557416267942584
A Chandila,3.5,3.5,3.5,3.5,3.5,6.0,3.5,3.5,3.5,3.5,1,16.5,10.3
A Choudhary,4.944444444444445,4.944444444444445,4.944444444444445,4.944444444444445,4.944444444444445,4.944444444444445,4.944444444444445,4.944444444444445,4.944444444444445,8.88888888888889,1,13.74074074074074,8.644444444444444
A Flintoff,7.875,14.75,7.875,7.875,7.875,7.875,7.875,7.875,7.875,7.875,1,12.125,7.675
A Kumble,12.44444444444444,6.869565217391305,6.307692307692308,7.1554254923820135,7.1554254923820135,7.1554254923820135,7.1554254923820135,7.1554254923820135,7.1554254923820135,7.1554254923820135,3,12.844574507617988,8.906744704570793
A Mishra,6.666666666666668,11.7,8.823529411764707,8.129032258064516,9.0,8.482758620689655,12.42857142857143,9.864406779661017,10.5,6.0,10,11.211864406779661,10.727118644067797
A Mithun,12.351896690879741,12.0,19.0,9.254237288135593,16.0,12.85714285714286,12.351896690879741,12.351896690879741,12.351896690879741,12.351896690879741,5,7.648103309120259,6.588861985472155
A Nehra,9.639344262295083,7.232142857142857,8.322580645161292,8.778663711939817,9.976744186046512,11.02702702702703,9.243243243243244,7.415730337078651,8.666666666666666,7.263157894736842,9,12.218148367172613,10.930889020303567
A Nel,8.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,15.5,9.7
A Singh,7.6517316017316,7.454545454545455,7.6517316017316,7.866666666666667,12.28571428571428,7.6517316017316,7.6517316017316,7.6517316017316,7.6517316017316,7.6517316017316,3,12.348268398268399,8.608961038961038
A Symonds,22.8,9.5,9.617647058823529,11.229411764705882,11.229411764705882,11.229411764705882,11.229411764705882,11.229411764705882,11.229411764705882,11.229411764705882,3,8.770588235294118,6.462352941176471
A Uniyal,4.7631578947368425,4.7631578947368425,8.526315789473685,4.7631578947368425,4.7631578947368425,4.7631578947368425,4.7631578947368425,4.7631578947368425,4.7631578947368425,4.7631578947368425,1,15.236842105263158,9.542105263157895
A Zampa,6.7137254901960794,6.7137254901960794,6.7137254901960794,6.7137254901960794,6.7137254901960794,6.7137254901960794,6.7137254901960794,6.7137254901960794,7.199999999999998,10.94117647058824,2,11.715032679738561,7.829019607843136
AA Chavan,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,13.71428571428571,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,7.357142857142855,1,12.642857142857146,7.9857142857142875
AA Jhunjhunwala,6.5,6.5,12.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,1,13.5,8.5
AA Noffke,5.5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1,16.75,10.45
AB Agarkar,5.076923076923077,9.904761904761905,9.36,10.47272727272727,10.0,10.8,8.802058893487466,8.802058893487466,8.802058893487466,8.802058893487466,6,11.197941106512534,9.118764663907521
AB Dinda,4.666666666666667,11.52,6.9,13.2,7.392857142857143,11.61702127659574,12.21428571428571,10.246669460872809,10.0327868852459,15.92307692307693,9,7.93248891026812,8.359493346160871
AB McDonald,5.166666666666667,5.166666666666667,12.5,5.166666666666667,1.0,5.166666666666667,5.166666666666667,5.166666666666667,5.166666666666667,5.166666666666667,2,14.833333333333332,9.7
AC Gilchrist,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1,19.5,12.1
AC Thomas,7.25,7.25,7.25,9.75,10.0,7.25,7.25,7.25,7.25,7.25,2,12.75,8.45
AC Voges,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,17.0,10.6
AD Mascarenhas,6.786666666666666,9.0,6.786666666666666,6.786666666666666,9.36,6.786666666666666,6.786666666666666,6.786666666666666,6.786666666666666,6.786666666666666,2,13.213333333333335,8.728
AD Mathews,10.347252747252748,21.0,7.23076923076923,10.347252747252748,8.0,8.5,10.347252747252748,9.200000000000001,10.347252747252748,12.5,6,9.317582417582416,7.99054945054945
AD Russell,9.879821616513917,9.879821616513917,9.879821616513917,9.879821616513917,12.63157894736842,8.307692307692307,12.0,8.516129032258064,12.82352941176471,9.879821616513917,5,9.59350664648777,7.756103987892662
AF Milne,7.118279569892473,7.118279569892473,7.118279569892473,7.118279569892473,7.118279569892473,7.118279569892473,7.118279569892473,7.118279569892473,12.0,7.35483870967742,2,11.175627240143369,7.505376344086021
AG Murtaza,9.384615384615383,9.384615384615383,10.15384615384615,16.0,9.384615384615383,9.384615384615383,9.384615384615383,9.384615384615383,9.384615384615383,9.384615384615383,2,10.615384615384617,7.16923076923077
