Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
A Ashish Reddy,8.309000184683356,8.309000184683356,8.309000184683356,8.309000184683356,8.449704142011836,10.39024390243902,8.309000184683356,8.27027027027027,10.43478260869565,8.309000184683356,4,10.99531564545024,8.197189387270145
A Chandila,4.8447619047619055,4.8447619047619055,4.8447619047619055,4.8447619047619055,6.214285714285715,6.32,4.8447619047619055,4.8447619047619055,4.8447619047619055,4.8447619047619055,2,15.155238095238094,9.893142857142857
A Choudhary,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,8.0,1,14.333333333333332,9.0
A Flintoff,5.318181818181818,9.636363636363637,5.318181818181818,5.318181818181818,5.318181818181818,5.318181818181818,5.318181818181818,5.318181818181818,5.318181818181818,5.318181818181818,1,14.681818181818182,9.209090909090909
A Kumble,7.983050847457627,5.916201117318436,6.508997429305913,5.852062348520494,5.852062348520494,5.852062348520494,5.852062348520494,5.852062348520494,5.852062348520494,5.852062348520494,3,14.147937651479506,9.688762590887702
A Mishra,6.829268292682926,6.870229007633587,6.76595744680851,6.833333333333332,7.910034602076125,6.303191489361701,8.921739130434784,7.518072289156628,7.394366197183097,8.734177215189874,10,12.117794766156802,11.270676859694081
A Mithun,9.078950808393534,9.333333333333334,11.7,8.823529411764707,10.73684210526316,8.879999999999999,9.078950808393534,9.078950808393534,9.078950808393534,9.078950808393534,5,10.921049191606466,8.55262951496388
A Nehra,7.65,6.515337423312883,7.199999999999998,8.023916057202097,8.474226804123711,8.660633484162895,9.225806451612904,7.05974025974026,7.453416149068323,9.0,9,12.162281197063805,10.897368718238283
A Nel,10.33333333333333,5.666666666666665,5.666666666666665,5.666666666666665,5.666666666666665,5.666666666666665,5.666666666666665,5.666666666666665,5.666666666666665,5.666666666666665,1,14.333333333333336,9.000000000000002
A Singh,6.385608654676824,5.607476635514018,6.385608654676824,7.611428571428571,9.323529411764707,6.385608654676824,6.385608654676824,6.385608654676824,6.385608654676824,6.385608654676824,3,13.614391345323174,9.368634807193905
A Symonds,14.45454545454546,6.612244897959183,7.107692307692307,10.25,8.48489653203939,8.48489653203939,8.48489653203939,8.48489653203939,8.48489653203939,8.48489653203939,4,11.51510346796061,8.509062080776365
A Uniyal,5.789473684210525,5.789473684210525,10.57894736842105,5.789473684210525,5.789473684210525,5.789473684210525,5.789473684210525,5.789473684210525,5.789473684210525,5.789473684210525,1,14.210526315789476,8.926315789473685
A Zampa,5.627035917024775,5.627035917024775,5.627035917024775,5.627035917024775,5.627035917024775,5.627035917024775,5.627035917024775,5.627035917024775,6.815533980582524,8.065573770491802,2,13.163952110633634,8.698371266380182
AA Chavan,6.1620562130177525,6.1620562130177525,6.1620562130177525,6.200000000000001,8.698224852071007,6.75,6.1620562130177525,6.1620562130177525,6.1620562130177525,6.1620562130177525,3,13.837943786982247,9.502766272189348
AA Jhunjhunwala,7.56730769230769,7.56730769230769,10.61538461538461,10.15384615384615,6.5,7.56730769230769,7.56730769230769,7.56730769230769,7.56730769230769,7.56730769230769,3,12.43269230769231,8.659615384615387
AA Kazi,5.346153846153847,5.346153846153847,5.346153846153847,9.692307692307693,5.346153846153847,5.346153846153847,5.346153846153847,5.346153846153847,5.346153846153847,5.346153846153847,1,14.653846153846153,9.192307692307692
AA Noffke,9.84,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,1,14.580000000000002,9.148000000000001
AB Agarkar,7.535714285714286,8.834170854271356,9.132352941176471,8.634146341463413,8.933333333333334,8.857142857142858,8.275265801871674,8.275265801871674,8.275265801871674,8.275265801871674,6,11.724734198128326,9.434840518876996
AB Dinda,6.514285714285714,7.800000000000002,6.458333333333332,8.91588785046729,6.662337662337663,9.197368421052632,8.338461538461537,11.45454545454546,7.375,11.16923076923077,10,10.000407925407922,10.000244755244754
AB McDonald,8.045205185899496,7.333333333333334,9.741176470588236,11.5,6.19672131147541,8.5,8.045205185899496,8.045205185899496,8.045205185899496,8.045205185899496,5,11.954794814100504,9.172876888460303
Abdur Razzak,12.42857142857143,6.714285714285715,6.714285714285715,6.714285714285715,6.714285714285715,6.714285714285715,6.714285714285715,6.714285714285715,6.714285714285715,6.714285714285715,1,13.285714285714285,8.37142857142857
AC Gilchrist,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1,19.5,12.1
AC Thomas,5.833333333333333,5.833333333333333,5.833333333333333,7.5,8.0,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333,5.833333333333333,2,14.166666666666668,9.3
AC Voges,4.571428571428571,4.571428571428571,8.142857142857142,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,1,15.428571428571429,9.657142857142857
AD Mascarenhas,7.44,6.879310344827586,8.25,6.770572342694632,6.804123711340206,6.25,6.770572342694632,6.770572342694632,6.770572342694632,6.770572342694632,5,13.229427657305369,9.937656594383222
AD Mathews,8.771673026413223,12.8,8.269565217391305,8.771673026413223,7.40506329113924,7.819148936170212,8.771673026413223,8.075675675675676,8.771673026413223,11.03225806451613,6,10.70679774446499,8.824078646678995
AD Russell,8.424621201321871,8.424621201321871,8.424621201321871,8.424621201321871,9.918367346938776,9.272727272727273,10.45161290322581,7.842519685039369,8.0625,8.424621201321871,5,11.890119704546253,9.134071822727751
AF Milne,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,10.56,9.4,2,10.906666666666666,7.343999999999999
AG Murtaza,6.486831639416704,6.486831639416704,7.643835616438356,6.0,5.5,9.29032258064516,6.486831639416704,6.486831639416704,6.486831639416704,6.486831639416704,4,13.513168360583297,9.707901016349979
AJ Finch,6.383928571428571,6.383928571428571,4.285714285714286,6.0,6.383928571428571,12.25,6.383928571428571,6.383928571428571,6.383928571428571,6.383928571428571,3,13.616071428571427,9.369642857142855
AJ Tye,3.921875,3.921875,3.921875,3.921875,3.921875,3.921875,3.921875,3.921875,3.921875,6.84375,1,15.104166666666668,9.4625
AL Menaria,5.568817204301076,5.568817204301076,5.568817204301076,7.806451612903226,6.9,5.568817204301076,5.568817204301076,5.568817204301076,5.568817204301076,5.568817204301076,2,14.431182795698923,9.458709677419353
AM Nayar,9.627906976744185,6.545454545454545,8.883496761636296,9.047619047619047,16.0,7.08,8.883496761636296,8.883496761636296,8.883496761636296,8.883496761636296,5,11.116503238363704,8.669901943018221
AM Rahane,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,17.0,10.6
AM Salvi,5.950440251572327,7.811320754716981,5.950440251572327,8.040000000000001,5.950440251572327,5.950440251572327,5.950440251572327,5.950440251572327,5.950440251572327,5.950440251572327,2,14.049559748427672,9.229735849056604
AN Ahmed,8.29077579776395,8.29077579776395,11.14285714285714,8.34375,7.846153846153847,6.428571428571429,8.089887640449438,10.18421052631579,8.29077579776395,8.29077579776395,6,11.07807929271877,9.046847575631263
Anand Rajan,6.3878261831048215,6.3878261831048215,6.3878261831048215,8.571428571428571,8.921052631578949,5.058823529411764,6.3878261831048215,6.3878261831048215,6.3878261831048215,6.3878261831048215,3,13.61217381689518,9.367304290137108
Ankit Sharma,8.281402128957895,8.281402128957895,8.281402128957895,8.281402128957895,6.816326530612245,8.5,5.5,7.953488372093022,7.199999999999998,16.0,6,9.615503875968992,8.169302325581395
Ankit Soni,4.383928571428571,4.383928571428571,4.383928571428571,4.383928571428571,4.383928571428571,4.383928571428571,4.383928571428571,4.383928571428571,4.383928571428571,7.767857142857143,1,14.488095238095237,9.092857142857142
Anureet Singh,8.225936965175086,8.294117647058822,8.225936965175086,8.225936965175086,8.225936965175086,8.225936965175086,8.225936965175086,8.888198757763975,6.947368421052633,13.0,4,10.388144273727798,7.832886564236679
AP Dole,5.184931506849315,5.184931506849315,9.36986301369863,5.184931506849315,5.184931506849315,5.184931506849315,5.184931506849315,5.184931506849315,5.184931506849315,5.184931506849315,1,14.815068493150685,9.289041095890411
AR Patel,6.82540087119361,6.82540087119361,6.82540087119361,6.82540087119361,6.82540087119361,6.82540087119361,6.312655086848635,8.283737024221454,8.061224489795919,7.469387755102041,4,12.061883576960195,8.837130146176117
AS Rajpoot,7.022442528735633,7.022442528735633,7.022442528735633,7.022442528735633,7.022442528735633,8.879999999999999,7.022442528735633,7.022442528735633,8.416666666666666,7.793103448275863,3,12.255929118773945,8.553557471264366
AS Raut,6.416666666666667,9.25,6.416666666666667,8.0,6.416666666666667,6.416666666666667,6.416666666666667,6.416666666666667,6.416666666666667,6.416666666666667,2,13.583333333333332,8.95
AUK Pathan,8.133333333333333,8.133333333333333,8.133333333333333,8.399999999999999,14.0,8.133333333333333,8.133333333333333,8.133333333333333,8.133333333333333,8.133333333333333,2,11.866666666666667,7.92
Avesh Khan,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,6.0,1,15.666666666666668,9.8
Azhar Mahmood,7.58060737757049,7.58060737757049,7.58060737757049,7.58060737757049,7.494339622641509,7.52808988764045,7.58060737757049,12.3,7.58060737757049,7.58060737757049,3,10.84626174828634,7.707757048971804
B Akhil,7.885714285714286,6.956521739130435,6.0,10.15384615384615,6.999216435738174,6.999216435738174,6.999216435738174,6.999216435738174,6.999216435738174,6.999216435738174,4,13.000783564261827,9.400470138557097
B Chipli,10.5,10.5,10.5,20.0,10.5,10.5,10.5,10.5,10.5,10.5,1,9.5,6.1
B Geeves,11.14285714285714,6.07142857142857,6.07142857142857,6.07142857142857,6.07142857142857,6.07142857142857,6.07142857142857,6.07142857142857,6.07142857142857,6.07142857142857,1,13.92857142857143,8.757142857142858
B Kumar,6.951086251659188,6.951086251659188,6.951086251659188,6.08955223880597,7.325000000000001,6.367688022284123,6.642201834862386,7.783281733746131,7.289855072463769,7.111111111111111,7,12.605250694226331,10.363150416535799
B Laughlin,5.300000000000001,5.300000000000001,5.300000000000001,5.300000000000001,5.300000000000001,9.600000000000001,5.300000000000001,5.300000000000001,5.300000000000001,5.300000000000001,1,14.7,9.219999999999999
B Lee,7.15151515151515,5.097744360902256,10.15384615384615,7.373239436619718,7.76923076923077,7.120000000000001,7.2379394103020065,7.2379394103020065,7.2379394103020065,7.2379394103020065,6,12.762060589697992,10.057236353818794
B Stanlake,4.699999999999999,4.699999999999999,4.699999999999999,4.699999999999999,4.699999999999999,4.699999999999999,4.699999999999999,4.699999999999999,4.699999999999999,8.399999999999999,1,14.066666666666666,8.84
BA Bhatt,6.47536384096024,6.47536384096024,6.47536384096024,8.127906976744185,8.58,6.193548387096774,6.47536384096024,6.47536384096024,6.47536384096024,6.47536384096024,3,13.524636159039762,9.314781695423857
BA Stokes,4.08029197080292,4.08029197080292,4.08029197080292,4.08029197080292,4.08029197080292,4.08029197080292,4.08029197080292,4.08029197080292,4.08029197080292,7.160583941605839,1,14.89294403892944,9.335766423357663
Basil Thampi,5.118705035971223,5.118705035971223,5.118705035971223,5.118705035971223,5.118705035971223,5.118705035971223,5.118705035971223,5.118705035971223,5.118705035971223,9.237410071942445,1,13.508393285371703,8.505035971223021
BAW Mendis,6.0,8.0,8.16,6.531999999999999,6.531999999999999,6.5,6.531999999999999,6.531999999999999,6.531999999999999,6.531999999999999,4,13.468,9.6808
BB Sran,8.815384615384616,8.815384615384616,8.815384615384616,8.815384615384616,8.815384615384616,8.815384615384616,8.815384615384616,10.8,8.076923076923077,13.38461538461539,3,9.246153846153845,6.747692307692307
BCJ Cutting,6.787648920327625,6.787648920327625,6.787648920327625,6.787648920327625,6.787648920327625,6.787648920327625,7.75,6.787648920327625,7.058823529411764,9.341772151898734,3,12.270585132787293,8.562351079672377
BE Hendricks,6.785040650406504,6.785040650406504,6.785040650406504,6.785040650406504,6.785040650406504,6.785040650406504,10.16,8.195121951219512,6.785040650406504,6.785040650406504,2,12.744932249322492,8.446959349593495
Bipul Sharma,7.730302197802197,7.730302197802197,9.4,6.153846153846153,10.25,5.25,7.730302197802197,7.142857142857141,8.785714285714285,7.86,7,12.070476190476192,10.042285714285715
BJ Hodge,7.040310641912389,8.146341463414634,8.2,6.895522388059701,11.0,3.0,7.040310641912389,7.040310641912389,7.040310641912389,7.040310641912389,5,12.959689358087612,9.775813614852567
BJ Rohrer,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,10.28571428571428,5.64285714285714,5.64285714285714,5.64285714285714,5.64285714285714,1,14.357142857142861,9.014285714285716
BMAJ Mendis,4.1,4.1,4.1,4.1,4.1,7.199999999999998,4.1,4.1,4.1,4.1,1,15.9,9.940000000000001
BW Hilfenhaus,5.832115171650055,5.832115171650055,5.832115171650055,5.832115171650055,6.753488372093023,5.832115171650055,8.742857142857142,5.832115171650055,5.832115171650055,5.832115171650055,2,14.167884828349944,9.300730897009966
C de Grandhomme,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,8.0,1,14.333333333333332,9.0
C Ganapathy,7.0,7.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,13.0,8.2
