,Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
0,A Ashish Reddy,,,,,8.449704142011836,10.39024390243902,,8.27027027027027,10.43478260869565,,4,,
1,A Chandila,,,,,6.214285714285715,6.32,,,,,2,,
2,A Choudhary,,,,,,,,,,8.0,1,,
3,A Flintoff,,9.636363636363637,,,,,,,,,1,,
4,A Kumble,7.983050847457627,5.916201117318436,6.508997429305913,,,,,,,,3,,
5,A Mishra,6.829268292682926,6.870229007633587,6.76595744680851,6.833333333333332,7.910034602076125,6.303191489361701,8.921739130434784,7.518072289156628,7.394366197183097,8.734177215189874,10,17.823830891403016,14.69429853484181
6,A Mithun,,9.333333333333334,11.7,8.823529411764707,10.73684210526316,8.879999999999999,,,,,5,,
7,A Nehra,7.65,6.515337423312883,7.199999999999998,,8.474226804123711,8.660633484162895,9.225806451612904,7.05974025974026,7.453416149068323,9.0,9,17.513156408808584,14.107893845285151
8,A Nel,10.33333333333333,,,,,,,,,,1,,
9,A Singh,,5.607476635514018,,7.611428571428571,9.323529411764707,,,,,,3,,
10,A Symonds,14.45454545454546,6.612244897959183,7.107692307692307,10.25,,,,,,,4,,
11,A Uniyal,,,10.57894736842105,,,,,,,,1,,
12,A Zampa,,,,,,,,,6.815533980582524,8.065573770491802,2,,
13,AA Chavan,,,,6.200000000000001,8.698224852071007,6.75,,,,,3,,
14,AA Jhunjhunwala,,,10.61538461538461,10.15384615384615,6.5,,,,,,3,,
15,AA Kazi,,,,9.692307692307693,,,,,,,1,,
16,AA Noffke,9.84,,,,,,,,,,1,,
17,AB Agarkar,7.535714285714286,8.834170854271356,9.132352941176471,8.634146341463413,8.933333333333334,8.857142857142858,,,,,6,,
18,AB Dinda,6.514285714285714,7.800000000000002,6.458333333333332,8.91588785046729,6.662337662337663,9.197368421052632,8.338461538461537,11.45454545454546,7.375,11.16923076923077,10,22.552622377622384,17.53157342657343
19,AB McDonald,,7.333333333333334,9.741176470588236,11.5,6.19672131147541,8.5,,,,,5,,
20,Abdur Razzak,12.42857142857143,,,,,,,,,,1,,
21,AC Gilchrist,,,,,,0.0,,,,,1,,
22,AC Thomas,,,,7.5,8.0,,,,,,2,,
23,AC Voges,,,8.142857142857142,,,,,,,,1,,
24,AD Mascarenhas,7.44,6.879310344827586,8.25,,6.804123711340206,6.25,,,,,5,,
25,AD Mathews,,12.8,8.269565217391305,,7.40506329113924,7.819148936170212,,8.075675675675676,,11.03225806451613,6,,
26,AD Russell,,,,,9.918367346938776,9.272727272727273,10.45161290322581,7.842519685039369,8.0625,,5,,
27,AF Milne,,,,,,,,,10.56,9.4,2,,
28,AG Murtaza,,,7.643835616438356,6.0,5.5,9.29032258064516,,,,,4,,
29,AJ Finch,,,4.285714285714286,6.0,,12.25,,,,,3,,
30,AJ Tye,,,,,,,,,,6.84375,1,,
31,AL Menaria,,,,7.806451612903226,6.9,,,,,,2,,
32,AM Nayar,9.627906976744185,6.545454545454545,,9.047619047619047,16.0,7.08,,,,,5,,
33,AM Rahane,,5.0,,,,,,,,,1,,
34,AM Salvi,,7.811320754716981,,8.040000000000001,,,,,,,2,,
35,AN Ahmed,,,11.14285714285714,8.34375,7.846153846153847,6.428571428571429,8.089887640449438,10.18421052631579,,,6,,
36,Anand Rajan,,,,8.571428571428571,8.921052631578949,5.058823529411764,,,,,3,,
37,Ankit Sharma,,,,,6.816326530612245,8.5,5.5,7.953488372093022,7.199999999999998,16.0,6,20.486821705426355,14.692093023255813
38,Ankit Soni,,,,,,,,,,7.767857142857143,1,,
39,Anureet Singh,,8.294117647058822,,,,,,8.888198757763975,6.947368421052633,13.0,4,20.16890051214994,13.701340307289962
40,AP Dole,,,9.36986301369863,,,,,,,,1,,
41,AR Patel,,,,,,,6.312655086848635,8.283737024221454,8.061224489795919,7.469387755102041,4,18.834757432384716,12.900854459430828
42,AS Rajpoot,,,,,,8.879999999999999,,,8.416666666666666,7.793103448275863,3,,
43,AS Raut,,9.25,,8.0,,,,,,,2,,
44,AUK Pathan,,,,8.399999999999999,14.0,,,,,,2,,
45,Avesh Khan,,,,,,,,,,6.0,1,,
46,Azhar Mahmood,,,,,7.494339622641509,7.52808988764045,,12.3,,,3,,
47,B Akhil,7.885714285714286,6.956521739130435,6.0,10.15384615384615,,,,,,,4,,
48,B Chipli,,,,20.0,,,,,,,1,,
49,B Geeves,11.14285714285714,,,,,,,,,,1,,
50,B Kumar,,,,6.08955223880597,7.325000000000001,6.367688022284123,6.642201834862386,7.783281733746131,7.289855072463769,7.111111111111111,7,17.44350717658027,13.266104305948161
51,B Laughlin,,,,,,9.600000000000001,,,,,1,,
52,B Lee,7.15151515151515,5.097744360902256,10.15384615384615,7.373239436619718,7.76923076923077,7.120000000000001,,,,,6,,
53,B Stanlake,,,,,,,,,,8.399999999999999,1,,
54,BA Bhatt,,,,8.127906976744185,8.58,6.193548387096774,,,,,3,,
55,BA Stokes,,,,,,,,,,7.160583941605839,1,,
56,Basil Thampi,,,,,,,,,,9.237410071942445,1,,
57,BAW Mendis,6.0,8.0,8.16,,,6.5,,,,,4,,
58,BB Sran,,,,,,,,10.8,8.076923076923077,13.38461538461539,3,23.33846153846154,15.203076923076924
59,BCJ Cutting,,,,,,,7.75,,7.058823529411764,9.341772151898734,3,,
60,BE Hendricks,,,,,,,10.16,8.195121951219512,,,2,,
61,Bipul Sharma,,,9.4,6.153846153846153,10.25,5.25,,7.142857142857141,8.785714285714285,7.86,7,18.548571428571424,13.929142857142855
62,BJ Hodge,,8.146341463414634,8.2,6.895522388059701,11.0,3.0,,,,,5,,
63,BJ Rohrer,,,,,,10.28571428571428,,,,,1,,
64,BMAJ Mendis,,,,,,7.199999999999998,,,,,1,,
65,BW Hilfenhaus,,,,,6.753488372093023,,8.742857142857142,,,,2,,
66,C de Grandhomme,,,,,,,,,,8.0,1,,
67,C Ganapathy,,,13.0,,,,,,,,1,,
68,C Munro,,,,,,,,,7.5,,1,,
69,C Nanda,,6.959999999999999,,,,,,,,,1,,
70,CH Gayle,,7.361344537815127,9.0,6.986666666666666,13.4,9.84,,7.384615384615386,6.0,,7,,
71,CH Morris,,,,,,7.961165048543689,,7.466666666666666,7.007299270072992,7.65079365079365,4,17.024230487004207,11.814538292202524
72,CJ Anderson,,,,,,,9.894736842105264,8.25,,9.272727272727273,3,,
73,CJ Jordan,,,,,,,,,8.81767955801105,8.571428571428571,2,,
74,CJ McKay,,,,,8.571428571428571,,,,,,1,,
75,CK Kapugedera,17.29411764705882,,,,,,,,,,1,,
76,CK Langeveldt,,3.599999999999999,7.885714285714286,7.885714285714286,,,,,,,3,,
77,CL White,20.57142857142857,,16.28571428571428,,8.100000000000001,8.0,,,,,4,,
